species_name,bud_bank_location,clonal_spread_mechanism,competitive_stratum,dispersal_syndrome,dispersal_unit,dispersers,establishment_light_environment_index,fire_time_from_fire_to_50_percent_flowering,fire_time_from_fire_to_50_percent_fruiting,fire_time_from_fire_to_flowering,fire_time_from_fire_to_flowering_decline,fire_time_from_fire_to_fruiting,fire_time_from_fire_to_peak_flowering,flower_colour,flower_structural_sex_type,flowering_cues,flowering_time,fruit_colour,fruiting_time,genome_size,germination_treatment,leaf_type,life_history,life_history_ephemeral_class,lifespan,nitrogen_fixing,parasitic,plant_climbing_mechanism,plant_flood_regime_classification,plant_growth_form,plant_growth_substrate,plant_height,plant_physical_defence_structures,plant_tolerance_calcicole,plant_tolerance_fire,plant_tolerance_inundation,plant_tolerance_salt,plant_tolerance_snow,plant_tolerance_soil_salinity,plant_tolerance_water_logged_soils,plant_type_by_resource_use,ploidy,pollination_syndrome,pollination_system,post_fire_flowering,post_fire_recruitment,recruitment_time,reproductive_light_environment_index,reproductive_maturity,resprouting_capacity,resprouting_capacity_juvenile,resprouting_capacity_non_fire_disturbance,resprouting_capacity_proportion_individuals,resprouting_capacity_time_from_germination,root_structure,root_system_type,seed_dormancy_class,seed_germination,seed_germination_time,seed_germination_treatment,seed_viability,seedbank_location,seedbank_longevity,seedbank_longevity_class,seedling_establishment_conditions,seedling_germination_location,serotiny,sex_type,sprout_depth,stem_growth_habit,storage_organ,vegetative_reproduction_ability
Acacia decurrens,,,,,,,,,,,,,,,,,Spring,yellow,,,,bipinnate,,,,,,,,,,20 to 30 feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia floribunda,,,ground,,,,full sun,,,,,,,yellow,,,"February - September, autumn, spring, winter",,,,,,,,,,,,,"shrub, tree",,"1.5m, 15-20 feet, 2-2.5 m, 3-7m, 6 to 30 ft, 8m high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia podalyriifolia,,,,,,,,,,,,,,"golden, yellow",,,July,,,,,,,,,,,,,"shrub, tree",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spreading,,
Acacia pubescens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia stricta,,,,,,,,,,,,,,,,,"December, November",,,,,,,,,,,,,shrub,,2-5m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erect,,
Acacia suaveolens,,,ground,,seed,,,,,,,,,yellow,,,"August to
October, Autumn-Spring, autumn, winter",bluish,,,cold,,,,,,,,,shrub,,"1-2 m high, 1—3m, 3-6 feet high, 5-6 feet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"erect, open",,
Aegiceras corniculatum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"shrub, tree",,3-4m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dense,,
Alphitonia excelsa,,,,,,,,,,,,,,cream,,,,"orange, yellow",,,,,,,,,,,,tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erect,,
Amyema miquelii,,,,,seed,birds,,,,,,,,,,,,red,,,dark,,,,,,"Holoparasitic, hemiparasitic",,,tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amyema pendula,,,,,,,,,,,,,,,,,,,,,,,,,,,hemiparasitic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
