species_name,establishment_light_environment_index,plant_tolerance_snow,fire_time_from_fire_to_fruiting,parasitic,reproductive_maturity,vegetative_reproduction_ability,plant_tolerance_calcicole,seedbank_location,clonal_spread_mechanism,seed_viability,lifespan,post_fire_flowering,plant_height,flowering_cues,fire_time_from_fire_to_flowering,pollination_syndrome,pollination_system,life_history_ephemeral_class,flowering_time,fire_time_from_fire_to_flowering_decline,plant_tolerance_salt,plant_type_by_resource_use,serotiny,plant_climbing_mechanism,resprouting_capacity_non_fire_disturbance,dispersal_syndrome,flower_colour,seedbank_longevity_class,nitrogen_fixing,plant_tolerance_soil_salinity,fruit_colour,post_fire_recruitment,seed_germination,seedbank_longevity,resprouting_capacity,root_structure,seed_dormancy_class,plant_growth_substrate,plant_tolerance_fire,seed_germination_treatment,seedling_germination_location,resprouting_capacity_juvenile,sex_type,bud_bank_location,seedling_establishment_conditions,plant_flood_regime_classification,plant_physical_defence_structures,sprout_depth,plant_tolerance_inundation,flower_structural_sex_type,resprouting_capacity_proportion_individuals,stem_growth_habit,fruiting_time,seed_germination_time,plant_tolerance_water_logged_soils,fire_time_from_fire_to_50_percent_flowering,recruitment_time,leaf_type,reproductive_light_environment_index,fire_time_from_fire_to_50_percent_fruiting,fire_time_from_fire_to_peak_flowering,storage_organ,competitive_stratum,ploidy,root_system_type,life_history,germination_treatment,dispersers,plant_growth_form,dispersal_unit,resprouting_capacity_time_from_germination,genome_size
Abutilon grandifolium,,,,,,,,,,,,,2 (2); 3 (1); 4 (1),,,,,,nnnnnyyyyyyn (1),,,,,,,,,,,,,post_fire_recruitment (1),,,fire_killed (1),,,,,,,,hermaphrodite (1),none (1),,,,,,,,erect (1); spreading (1),,,,,,,,,,,,,,perennial (4),,,shrub (5),,,
Abutilon oxycarpum,,not_applicable (1),,not_parasitic (1),0--1 (1),not_vegetative (1),,soil_seedbank (1),,,10 (1); 4 (1); <1 (1),,0.01 (1); 0.35 (1); 0.6 (1); 0.9 (1); 1.5 (1); 2 (1); 2.5 (1),,,insect (2),,,nnnnyyyyyynn (1); nyyyyynnnnnn (1); yyyyynnnnnny (2); yyyyyyyyyyyy (1),,salinity_tolerance_undefined (1),,,,,anemochory (1); barochory (1); zoochory (1),,persistent (2),non_nitrogen_fixer (2),,green (1),post_fire_recruitment (2); post_fire_recruitment_absent (2),,2-- (1),fire_killed (5),,physical_dormancy (1),,,heat (1),,,hermaphrodite (1),none (3),,,absent (1),,less_than_1_month (1),,,prostrate (1),nyyyyynnnnnn (1),12 (1); 43 (1); 64 (1),1-6_months (1); less_than_1_month (1),,,,,,,,,,,perennial (4),,invertebrates (1); passive (1); wind (1),herb (4); shrub (6),,,
Abutilon oxycarpum subsp. Prostrate (A.A.Mitchell PRP 1266),,,,,,,,,,,,,0.01 (1); 0.35 (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prostrate (1),,,,,,,,,,,,,,perennial (2),,,herb (1); shrub (2),,,
Abutilon oxycarpum var. incanum,,not_applicable (1),,not_parasitic (1),0--1 (1),not_vegetative (1),,,,,<1 (1),,1 (1),,,insect (1),,,yyyyyyyyyyyy (1),,salinity_tolerance_undefined (1),,,,,zoochory (1),,persistent (1),non_nitrogen_fixer (1),,,,,2-- (1),fire_killed (1),,,,,,,,,,,,absent (1),,less_than_1_month (1),,,erect (1),,,1-6_months (1); less_than_1_month (1),,,,,,,,,,,annual (2),,invertebrates (1),herb (3),,,
Abutilon oxycarpum var. oxycarpum,,not_applicable (2),,not_parasitic (2),0--1 (2),not_vegetative (2),,,,,<1 (2),,2.5 (1),,,insect (2),,,yyyyyyyyyyyy (2),,salinity_tolerance_undefined (2),,,,,zoochory (2),,persistent (2),non_nitrogen_fixer (2),,,post_fire_recruitment_absent (1),,2-- (2),fire_killed (3),,,,,,,,,none (1),,,absent (2),,less_than_1_month (2),,,,,,1-6_months (2); less_than_1_month (2),,,,,,,,,,,perennial (1),,invertebrates (2),herb (2); shrub (2),,,
Abutilon oxycarpum var. subsagittatum,,not_applicable (1),,not_parasitic (1),0--1 (1),not_vegetative (1),,,,,<1 (1),,1 (1),,,insect (1),,,yyyyyyyyyyyy (1),,salinity_tolerance_undefined (1),,,,,zoochory (1),,persistent (1),non_nitrogen_fixer (1),,,post_fire_recruitment_absent (1),,2-- (1),fire_killed (2),,,,,,,,,none (1),,,absent (1),,not_applicable (1),,,erect (1); spindly (1),,,not_applicable (1),,,,,,,,,,,perennial (2),,invertebrates (1),herb (1); shrub (2),,,
Abutilon theophrasti,,,,,,,,,,,,,0.3 (1); 1 (3); 1.2 (1),,,,,,yyyyynnnnnny (1),,,,,,,,,,,,black (2),,,,,,,,,,,,hermaphrodite (1),,,,,,,,,erect (2),,,,,,,,,,,,,,annual (4),,,herb (4); shrub (3),,,
Acacia baileyana,,,46.046511627907 (1),,3 (2); 4 (1),not_vegetative (1),,soil_seedbank (1),,0.833 (1); 1 (1),20 (1); 20--50 (1); 30 (1),,10 (4); 3 (2); 5 (1); 6 (2),,31.3953488372093 (1); 36.2790697674419 (1); 48.3720930232558 (1),insect (1),,,nnnnnyyyynnn (4),,,,,,,ballistic (1); myrmecochory (3),yellow_orange (1),long_persistent (1); persistent (1),,,black (2); brown (3); white (1),post_fire_recruitment (2),0.616 (1); 0.97 (1),10-- (1),fire_killed (5),,physical_dormancy (1),,,heat (1),,juvenile_fire_killed (1),andromonoecious (1),none (1),establish_anytime (1),,,,,,,erect (1); spreading (1),,308 (1),,,,,,,,,,,,perennial (10),,ants (2),shrub (9); tree (9),,,1.727 (1)
Acacia binervia,,not_applicable (1),46.046511627907 (1),not_parasitic (1),2 (1); 3 (1); 4 (1); 5--20 (1),not_vegetative (2),,soil_seedbank (1),,,100 (1); 50 (1); 50-500 (1),,15 (1); 16 (4); 2 (1); 4 (1),,33.0232558139535 (1); 36.2790697674419 (1); 48.3720930232558 (1),insect (2),,,nnnnnnnnyynn (3); nnnnnnnyynnn (1); nnnnnnnyyynn (2); nnnnynnnnnnn (1),,salt_spray_tolerant (1),,not_serotinous (1),,,barochory (1); endozoochory (1); myrmecochory (1); zoochory (1),yellow_orange (1),persistent (2),nitrogen_fixer (1),,,,,2-- (1),fire_killed (4),,,,,heat (1),,,andromonoecious (1),none (1),,,absent (1),,not_applicable (1),,,erect (1); spreading (1),,868 (1),not_applicable (1),,,,,,,,,,,perennial (4),,ants (1); invertebrates (1); passive (1); vertebrates (1),shrub (4); tree (9),,,
Acacia boormanii,,days (1),,not_parasitic (1),5--20 (1),not_vegetative (1),,,,,<50 (1),,1 (1); 4 (4); 4.5 (1),,,insect (1),,,nnnnnnnynnnn (1); nnnnnnnyynnn (1); nnnnnnnyyynn (1),,salinity_tolerance_undefined (1),,,,,zoochory (1),yellow_orange (1),persistent (1),nitrogen_fixer (1),,,,0.96 (1),2-- (1),fire_killed (1),,,,,,,,andromonoecious (1),,,,absent (1),,less_than_1_month (1),,,bushy (2); erect (1); spreading (1),,,less_than_1_month (1),,,,,,,,,,,perennial (5),,invertebrates (1),shrub (7); tree (1),,,
